fecha;codigo;facultad;area;materia;seccion;horario;dias;evaluacion;tipo;inscritos;examinados;modalidad
2023-02-16;ESPRO-V;Fac_InCa;INFORMATICA;ESTÁNDARES DE PROGRAMACIÓN;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;26;21;VIRTUAL
2023-02-16;ET2Q-V;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;CONTROL ESTADÍSTICO DE LA CALIDAD (ETC2);1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;18;17;VIRTUAL
2023-02-16;TECG-V;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;TEORÍA DE LA COMUNICACIÓN GRÁFICA;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;15;15;VIRTUAL
2023-02-16;SIPRI-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;INGLÉS TÉCNICO IV (SISTEMAS INTEGRADOS ADMINISTRATIVOS);1;06:30-08:00;Ma-Jue-Sab;PRIMERA;ORDINARIA;4;4;EN LINEA
2023-02-16;CDC1-E;Fac_CiEmp;NEGOCIOS;CONTABILIDAD DE COSTOS I;3;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;25;22;PRESENCIAL
2023-02-16;SIOP-T;Fac_InCa;INFORMATICA;INFORMÁTICA TÉCNICA;2;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;26;24;PRESENCIAL
2023-02-16;DEIN-H;Fac_CiSo;PSICOLOGIA;DESARROLLO INDIVIDUAL;7;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;17;14;PRESENCIAL
2023-02-16;REA1-V;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;6;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;121;106;VIRTUAL
2023-02-16;DII1-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DISEÑO DE INTERFACES I;1;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;51;49;PRESENCIAL
2023-02-16;LCI1-V;Fac_CiSo;IDIOMAS;LECTURA Y CONVERSACIÓN EN INGLÉS I;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;35;30;VIRTUAL
2023-02-16;REA1-V;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;5;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;123;108;VIRTUAL
2023-02-16;DISW-I;Fac_InCa;INFORMATICA;DISEÑO DE SITIOS WEB;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;26;23;EN LINEA
2023-02-16;PSOI-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA ORGANIZACIONAL I;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;82;83;EN LINEA
2023-02-16;PSLA-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA LABORAL;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;67;66;EN LINEA
2023-02-16;COME-E;Fac_CiSo;COMUNICACIONES;COMUNICACIÓN EMPRESARIAL;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;63;60;EN LINEA
2023-02-16;DPP1-D;Fac_Der;DERECHO;DERECHO PROCESAL PENAL I;1;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;22;21;PRESENCIAL
2023-02-16;EBAS-T;Fac_InCa;INFORMATICA;ELECTRICIDAD BÁSICA;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;23;21;EN LINEA
2023-02-16;DEME-D;Fac_Der;DERECHO;DERECHO MERCANTIL;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;72;70;EN LINEA
2023-02-16;INME-E;Fac_CiEmp;NEGOCIOS;INVESTIGACIÓN DE MERCADO;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;47;42;EN LINEA
2023-02-16;LCI1-H;Fac_CiSo;IDIOMAS;LECTURA Y CONVERSACIÓN EN INGLÉS I;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;49;44;EN LINEA
2023-02-16;MATT-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA I;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;65;58;EN LINEA
2023-02-16;INF1-I;Fac_InCa;INFORMATICA;INFORMÁTICA;11;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;128;113;EN LINEA
2023-02-16;LCI2-H;Fac_CiSo;IDIOMAS;LECTURA Y CONVERSACIÓN EN INGLÉS II;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;43;38;EN LINEA
2023-02-16;ING1-H;Fac_CiSo;IDIOMAS;INGLÉS I;9;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;16;14;PRESENCIAL
2023-02-16;PDTV-H;Fac_CiSo;COMUNICACIONES;PRODUCCIÓN EN TELEVISIÓN;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;87;85;PRESENCIAL
2023-02-16;TCOM-H;Fac_CiSo;COMUNICACIONES;TEORÍA DE LA COMUNICACIÓN;4;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;38;32;EN LINEA
2023-02-16;PRAD-H;Fac_CiSo;COMUNICACIONES;PRODUCCIÓN EN RADIO;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;60;59;PRESENCIAL
2023-02-16;REP1-H;Fac_CiSo;COMUNICACIONES;RELACIONES PÚBLICAS I;3;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;36;34;EN LINEA
2023-02-16;PROG5-I;Fac_InCa;INFORMATICA;PROGRAMACIÓN V;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;27;22;EN LINEA
2023-02-16;PROG5-V;Fac_InCa;INFORMATICA;PROGRAMACIÓN V;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;6;5;VIRTUAL
2023-02-16;IEHT-I;Fac_CiSo;IDIOMAS;INGLÉS ESPECIALIZADO EN HOTELERÍA Y TURISMO;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;106;100;EN LINEA
2023-02-16;AYDS-I;Fac_InCa;INFORMATICA;LENGUAJE UNIFICADO MODELADO (UML);2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;97;94;EN LINEA
2023-02-16;SICA-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;SISTEMA DE CONTROL ADMINISTRATIVO;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;62;51;EN LINEA
2023-02-16;PUB1-H;Fac_CiSo;COMUNICACIONES;PUBLICIDAD I;3;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;79;79;EN LINEA
2023-02-16;ETS4-T;Fac_InCa;INFORMATICA;DESARROLLO DE REDES DE DATOS IV;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;45;44;EN LINEA
2023-02-16;EPRO-V;Fac_CiSo;ANTROPOLOGIA;ÉTICA;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;119;107;VIRTUAL
2023-02-16;EPRO-V;Fac_CiSo;ANTROPOLOGIA;ÉTICA;2;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;90;79;VIRTUAL
2023-02-16;OCOM-I;Fac_InCa;INFORMATICA;ORGANIZACIÓN DE LAS COMPUTADORAS;3;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;49;47;EN LINEA
2023-02-16;REA1-V;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;2;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;125;116;VIRTUAL
2023-02-16;DINA-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO NATURAL;3;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;86;67;EN LINEA
2023-02-16;LEMA-V;Fac_InCa;INFORMATICA;LENGUAJE DE MÁQUINA;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;33;24;VIRTUAL
2023-02-16;DIBT-I;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO TÉCNICO;4;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;110;96;EN LINEA
2023-02-16;TCOM-H;Fac_CiSo;COMUNICACIONES;TEORÍA DE LA COMUNICACIÓN;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;44;42;PRESENCIAL
2023-02-16;DEC1-V;Fac_Der;DERECHO;DERECHO CIVIL I (BIENES);2;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;60;44;VIRTUAL
2023-02-16;INF1-I;Fac_InCa;INFORMATICA;INFORMÁTICA;6;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;87;84;PRESENCIAL
2023-02-16;CDLA-E;Fac_Der;DERECHO;ESTUDIO DE LA CONSTITUCIÓN;7;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;62;58;EN LINEA
2023-02-16;COBI-AC;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;COMPOSICIÓN BIDIMENSIONAL;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;52;43;PRESENCIAL
2023-02-16;SIPTD-V;Fac_InCa;INFORMATICA;SISTEMAS PARA LA TOMA DE DECISIONES;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;9;8;VIRTUAL
2023-02-16;SINF-V;Fac_InCa;INFORMATICA;SISTEMAS DE INFORMACIÓN GERENCIAL;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;43;36;VIRTUAL
2023-02-16;SEIM-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;SEMIÓTICA DE LA IMAGEN;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;31;31;EN LINEA
2023-02-16;MEPU-AC;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;MEDIOS PUBLICITARIOS GRÁFICOS;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;87;84;EN LINEA
2023-02-16;PSO2-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA ORGANIZACIONAL II;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;75;74;EN LINEA
2023-02-16;MAT1-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA I;4;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;89;86;PRESENCIAL
2023-02-16;TCMD-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;TALLER DE CREATIVIDAD Y MÉTODOS DE DISEÑO;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;43;39;EN LINEA
2023-02-16;ESA3-AC;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;ESTABILIDAD Y ASISMICIDAD III;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;59;55;EN LINEA
2023-02-16;CAL3-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA IV;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;39;38;EN LINEA
2023-02-16;ARAR2-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;ARTES GRÁFICAS II;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;65;57;EN LINEA
2023-02-16;EPRO-AC;Fac_CiSo;ANTROPOLOGIA;ÉTICA;7;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;129;122;EN LINEA
2023-02-16;REA1-V;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;124;102;VIRTUAL
2023-02-16;ING2-H;Fac_CiSo;IDIOMAS;INGLÉS II;5;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;14;12;PRESENCIAL
2023-02-16;REA1-A;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;8;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;29;24;PRESENCIAL
2023-02-16;FOAR-AC;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;FOTOGRAFÍA ARTÍSTICA;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;43;43;EN LINEA
2023-02-16;EXOE-H;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;12;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;128;123;EN LINEA
2023-02-16;TOP1-I;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;TOPOGRAFÍA I;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;49;44;EN LINEA
2023-02-16;DPWEB-I;Fac_InCa;INFORMATICA;DESARROLLO DE LA PLATAFORMA WEB;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;101;94;EN LINEA
2023-02-16;DEC2-V;Fac_Der;DERECHO;DERECHO CIVIL II (BIENES);1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;52;47;VIRTUAL
2023-02-16;EI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;ESTADÍSTICA Y PROBABILIDADES;2;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;83;82;EN LINEA
2023-02-16;GCYA-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;INGLÉS TÉCNICO VII (GESTIÓN DE COMPRAS Y ABASTECIMIENTO);1;06:30-08:00;Ma-Jue-Sab;PRIMERA;ORDINARIA;13;13;EN LINEA
2023-02-16;TESE-AC;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;TÉCNICAS SERIGRÁFICAS;1;17:00-18:30;Ma-Jue;PRIMERA;ORDINARIA;18;12;PRESENCIAL
