fecha;codigo;facultad;area;materia;seccion;horario;dias;inscritos;asistencia;modalidad;inasistencia
ENERO 2023;COME-E;Fac_CiSo;COMUNICACIONES;COMUNICACIÓN EMPRESARIAL;1;tarde;Ma-Jue;63;54;EN LINEA;9
ENERO 2023;MATT-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA I;2;tarde;Ma-Jue;65;54;EN LINEA;11
ENERO 2023;REP1-H;Fac_CiSo;COMUNICACIONES;RELACIONES PÚBLICAS I;3;tarde;Ma-Jue;37;28;EN LINEA;9
ENERO 2023;DEL2-D;Fac_Der;DERECHO;DERECHO LABORAL II;1;tarde;Ma-Jue;54;40;EN LINEA;14
ENERO 2023;LCI2-H;Fac_CiSo;IDIOMAS;LECTURA Y CONVERSACIÓN EN INGLÉS II;2;tarde;Ma-Jue;43;42;EN LINEA;1
ENERO 2023;PAV2-T;Fac_CiEmp;NEGOCIOS;PLANIFICACIÓN DE AGENCIAS DE VIAJES II;1;tarde;Ma-Jue;50;41;EN LINEA;9
ENERO 2023;EBAS-T;Fac_InCa;INFORMATICA;ELECTRICIDAD BÁSICA;2;tarde;Ma-Jue;23;20;EN LINEA;3
ENERO 2023;ESTE-E;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;ESTADÍSTICA;2;tarde;Ma-Jue;128;96;EN LINEA;32
ENERO 2023;PSAPA-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA DEL APRENDIZAJE;2;tarde;Ma-Jue;120;109;EN LINEA;11
ENERO 2023;MAT3-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA III;3;tarde;Ma-Jue;111;98;EN LINEA;13
ENERO 2023;PUB1-H;Fac_CiSo;COMUNICACIONES;PUBLICIDAD I;3;tarde;Ma-Jue;79;56;EN LINEA;23
