IADOS;codigo;facultad;area;materia;seccion;horario;dias;inscritos;asistencia;modalidad
1/2/2023;PSEM-H   ;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA EMPRESARIAL;4;18:40-20:10;Lu-Mie;118;100;EN LINEA
1/2/2023;CDLA-E   ;Fac_Der;DERECHO;ESTUDIO DE LA CONSTITUCIÓN;8;18:40-20:10;Lu-Mie;63;47;EN LINEA
1/2/2023;CDC1-E   ;Fac_CiEmp;NEGOCIOS;CONTABILIDAD DE COSTOS I;4;18:40-20:10;Lu-Mie;107;89;EN LINEA
1/2/2023;LOJU-D   ;Fac_Der;DERECHO;LÓGICA JURÍDICA;2;18:40-20:10;Lu-Mie;56;46;EN LINEA
1/2/2023;PROG4-I  ;Fac_InCa;INFORMATICA;PROGRAMACIÓN IV;1;18:40-20:10;Lu-Mie;66;59;EN LINEA
1/2/2023;SICAI-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;INGLÉS TÉCNICO V (SISTEMA DE CONTROL ADMINISTRATIVO);1;18:40-20:10;Lu-Mie-Vie;16;13;EN LINEA
1/2/2023;IA2-H    ;Fac_CiSo;IDIOMAS;INGLÉS AVANZADO II;1;18:40-20:10;Lu-Mie-Vie;35;27;EN LINEA
1/2/2023;IA1-H    ;Fac_CiSo;IDIOMAS;INGLÉS AVANZADO I;2;18:40-20:10;Lu-Mie-Vie;58;45;EN LINEA
1/2/2023;TDI-H;Fac_CiSo;IDIOMAS;TÉCNICAS DE INTERPRETACIÓN;1;18:40-20:10;Lu-Mie;35;31;EN LINEA
1/2/2023;ETCO-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;ÉTICA DE LA COMUNICACIÓN;1;18:40-20:10;Mie;2;1;EN LINEA
1/2/2023;PPT2-H   ;Fac_CiSo;PSICOLOGIA;PSICO-PATOLOGÍA II;2;18:40-20:10;Lu-Mie;109;97;EN LINEA
1/2/2023;ETS1-T   ;Fac_InCa;INFORMATICA;DESARROLLO DE REDES DE DATOS I;1;18:40-20:10;Lu-Mie;44;37;EN LINEA
1/2/2023;EDPRO-H  ;Fac_CiSo;COMUNICACIONES;EDITORIAL Y PROPAGANDA;1;18:40-20:10;Lu-Mie;83;68;EN LINEA
1/2/2023;PSCC-H   ;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA DE LA COMUNICACIÓN;1;18:40-20:10;Lu-Mie;27;25;EN LINEA
1/2/2023;DIMU-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DISEÑO MULTIMEDIA;1;18:40-20:10;Lu-Mie;22;20;EN LINEA
1/2/2023;INGC4-I ;Fac_CiSo;IDIOMAS;INGLÉS PARA COMUNICACIONES IV;1;18:40-20:10;Lu-Mie-Vie;6;3;EN LINEA
1/2/2023;CYCO-E   ;Fac_CiEmp;NEGOCIOS;CRÉDITOS Y COBROS;1;18:40-20:10;Lu-Mie;66;51;EN LINEA
1/2/2023;INT6-I;Fac_CiSo;IDIOMAS;INGLÉS PARA TURISMO VI;1;18:05-19:35;Lu-Mie-Vie;14;11;EN LINEA
1/2/2023;INT8-I;Fac_CiSo;IDIOMAS;INGLÉS PARA TURISMO VIII;1;18:05-19:35;Lu-Mie-Vie;5;4;EN LINEA
1/2/2023;INT4-I   ;Fac_CiSo;IDIOMAS;INGLÉS PARA NEGOCIOS IV;1;18:05-19:35;Lu-Mie-Vie;10;7;EN LINEA
1/2/2023;COBI-E   ;Fac_CiEmp;NEGOCIOS;CONTABILIDAD DE BANCOS Y FINANCIERAS;1;18:40-20:10;Lu-Mie;47;39;EN LINEA
1/2/2023;COAD-E   ;Fac_CiEmp;NEGOCIOS;CONSULTORÍA ADMINISTRATIVA;2;18:40-20:10;Lu-Mie;122;94;EN LINEA
1/2/2023;IIN-I;Fac_InCa;INFORMATICA;IMPLEMENTACIÓN DE PROYECTOS DE INTELIGENCIA DE NEGOCIOS;1;17:00-18:30;Lu-Mie;8;8;EN LINEA
1/2/2023;PMD-I;Fac_InCa;INFORMATICA;ELABORACIÓN DE PROYECTOS DE MINERÍA DE DATOS;1;18:40-20:10;Lu-Mie;9;9;EN LINEA
2/2/2023;REP1-H   ;Fac_CiSo;COMUNICACIONES;RELACIONES PÚBLICAS I;1;06:30-08:00;Ma-Jue;54;39;EN LINEA
2/2/2023;ECOE-B;Fac_CiEmp;NEGOCIOS;ECONOMÍA EMPRESARIAL;1;06:30-08:00;Ma-Jue;27;25;EN LINEA
2/2/2023;ESTP-E   ;Fac_CiEmp;NEGOCIOS;ESTRATEGIA DEL PRODUCTO;1;06:30-08:00;Ma-Jue;42;40;EN LINEA
2/2/2023;ALG1-E   ;Fac_InCa;INFORMATICA;ALGORITMOS I;6;06:30-08:00;Ma-Jue;44;35;PRESENCIAL
2/2/2023;FIS1-I   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;FÍSICA I;1;06:30-08:00;Ma-Jue;27;20;PRESENCIAL
2/2/2023;DEM2N-D  ;Fac_Der;DERECHO;DERECHO MERCANTIL II;1;06:30-08:00;Ma-Jue;87;60;EN LINEA
2/2/2023;DIBA-I   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;DIBUJO APLICADO;2;06:30-08:00;Ma-Jue;26;23;EN LINEA
2/2/2023;FILJ-D   ;Fac_Der;DERECHO;FILOSOFÍA JURÍDICA;1;06:30-08:00;Ma-Jue;92;66;EN LINEA
2/2/2023;PLAE-E   ;Fac_CiEmp;NEGOCIOS;PLANEACIÓN ESTRATÉGICA;1;06:30-08:00;Ma-Jue;40;33;EN LINEA
2/2/2023;TER1-T;Fac_InCa;INFORMATICA;TECNOLOGÍA CERTIFICADA EN REDES I;1;06:30-08:00;Ma-Jue;22;18;EN LINEA
2/2/2023;SICA-I   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;SISTEMA DE CONTROL ADMINISTRATIVO;1;06:30-08:00;Ma-Jue;62;54;EN LINEA
2/2/2023;DEME-D   ;Fac_Der;DERECHO;DERECHO MERCANTIL;5;06:30-08:00;Ma-Jue;29;24;EN LINEA
2/2/2023;MEPU-AC  ;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;MEDIOS PUBLICITARIOS GRÁFICOS;1;06:30-08:00;Ma-Jue;38;34;EN LINEA
2/2/2023;DEME-D   ;Fac_Der;DERECHO;DERECHO MERCANTIL;1;06:30-08:00;Ma-Jue;72;55;EN LINEA
2/2/2023;PROG1-I  ;Fac_InCa;INFORMATICA;PROGRAMACIÓN I;1;06:30-08:00;Ma-Jue;62;55;EN LINEA
2/2/2023;PROG5-I  ;Fac_InCa;INFORMATICA;PROGRAMACIÓN V;1;06:30-08:00;Ma-Jue;27;23;EN LINEA
2/2/2023;MATF-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA FINANCIERA;1;06:30-08:00;Ma-Jue;69;45;EN LINEA
2/2/2023;GSAC-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;GESTIÓN DE SERVICIO AL CLIENTE;1;06:30-08:00;Ma-Jue;66;44;EN LINEA
2/2/2023;COI1-H   ;Fac_CiSo;IDIOMAS;COMPOSICIÓN INGLESA I;2;06:30-08:00;Ma-Jue;72;68;EN LINEA
2/2/2023;ALG1-E   ;Fac_InCa;INFORMATICA;ALGORITMOS I;1;06:30-08:00;Ma-Jue;88;82;PRESENCIAL
2/2/2023;SIOP-N   ;Fac_InCa;INFORMATICA;SISTEMAS OPERATIVOS;1;06:30-08:00;Ma-Jue;28;25;EN LINEA
2/2/2023;COA2-I   ;Fac_CiSo;IDIOMAS;COMPRENSIÓN AUDITIVA II;1;06:30-08:00;Ma-Jue;43;43;EN LINEA
2/2/2023;PSOI-H   ;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA ORGANIZACIONAL I;1;06:30-08:00;Ma-Jue;39;36;EN LINEA
2/2/2023;EPRO-AC  ;Fac_CiSo;ANTROPOLOGIA;ÉTICA;2;06:30-08:00;Ma-Jue;36;33;PRESENCIAL
2/2/2023;FEPS-I   ;Fac_InCa;INFORMATICA;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;1;06:30-08:00;Ma-Jue;62;48;EN LINEA
2/2/2023;DIIN-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DISEÑO INFOGRÁFICO;1;06:30-08:00;Ma-Jue;51;32;EN LINEA
2/2/2023;ING2-H   ;Fac_CiSo;IDIOMAS;INGLÉS II;2;06:30-08:00;Ma-Jue;25;17;PRESENCIAL
2/2/2023;MODEI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;INGLÉS TÉCNICO II (MODELOS DE DECISIÓN);1;06:30-08:00;Ma-Jue-Sab;5;3;EN LINEA
2/2/2023;PSIG-H   ;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA GENERAL;1;06:30-08:00;Ma-Jue;80;68;PRESENCIAL
2/2/2023;MAT2-T   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA II;2;06:30-08:00;Ma-Jue;17;13;PRESENCIAL
2/2/2023;MAT2-E   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA II;1;06:30-08:00;Ma-Jue;19;17;PRESENCIAL
2/2/2023;CRPU-AC  ;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;CREATIVIDAD PUBLICITARIA;1;06:30-08:00;Ma-Jue;36;30;EN LINEA
2/2/2023;INF1-I   ;Fac_InCa;INFORMATICA;INFORMÁTICA;3;06:30-08:00;Ma-Jue;56;48;PRESENCIAL
2/2/2023;PUB1-H   ;Fac_CiSo;COMUNICACIONES;PUBLICIDAD I;1;06:30-08:00;Ma-Jue;15;13;PRESENCIAL
2/2/2023;REA1-A   ;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;2;06:30-08:00;Ma-Jue;86;89;PRESENCIAL
2/2/2023;CDLA-E   ;Fac_Der;DERECHO;ESTUDIO DE LA CONSTITUCIÓN;2;06:30-08:00;Ma-Jue;96;75;EN LINEA
2/2/2023;PRAC2-E  ;Fac_CiEmp;NEGOCIOS;PRÁCTICA GERENCIAL II;1;06:30-08:00;Ma-Jue;51;43;EN LINEA
2/2/2023;DPCM1-D;Fac_Der;DERECHO;DERECHO PROCESAL CIVIL Y MERCANTIL I;1;06:30-08:00;Ma-Jue;75;54;EN LINEA
2/2/2023;ADEF-E   ;Fac_CiEmp;NEGOCIOS;ANÁLISIS DE ESTADOS FINANCIEROS;2;06:30-08:00;Ma-Jue;95;74;EN LINEA
2/2/2023;FEPP-I   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;1;06:30-08:00;Ma-Jue;43;34;EN LINEA
